Time(s),Pressure(pa),Humidity(RH%),Temperature(C),Gas(NoUnitYet)
0,95442.6757812,100,23,316
0.5,95412.1826172,100,23,318
1.0,95434.7412109,100,23,318
1.5,95443.6523438,100,23,314
2.0,95427.6123047,100,23,317
2.5,95424.9023438,100,23,313
3.0,95457.2753906,100,23,312
3.5,95435.6933594,100,23,312
4.0,95419.7021484,100,23,311
4.5,95428.3691406,100,23,317
5.0,95400.5859375,100,23,317
5.5,95397.9003906,100,23,312
6.0,95450.3417969,100,23,313
6.5,95439.1601562,100,23,313
7.0,95441.8945312,100,23,318
7.5,95449.7558594,100,23,317
8.0,95440.3076172,100,23,314
8.5,95445.3369141,100,23,315
9.0,95412.7441406,100,23,317
9.5,95420.0683594,100,23,317
10.0,95424.9023438,100,23,316
10.5,95423.9501953,100,23,311
11.0,95435.4980469,100,23,315
11.5,95430.2978516,100,23,315
12.0,95438.4033203,100,23,315
12.5,95437.2802734,100,23,317
13.0,95437.5976562,100,23,317
13.5,95433.3984375,100,23,316
14.0,95421.875,100,23,314
14.5,95415.2587891,100,23,313
15.0,95423.7548828,100,23,315
15.5,95434.9121094,100,23,317
16.0,95439.9414062,100,23,316
16.5,95405.4199219,100,23,315
17.0,95415.4296875,100,23,315
17.5,95456.4941406,100,23,315
18.0,95413.9404297,100,23,316
18.5,95437.7929688,100,23,311
19.0,95418.7255859,100,23,314
19.5,95437.4267578,100,23,319
20.0,95418.5546875,100,23,314
20.5,95436.8408203,100,23,312
21.0,95444.5800781,100,23,314
21.5,95435.8886719,100,23,315
22.0,95432.8125,100,23,317
22.5,95436.4501953,100,23,315
23.0,95445.703125,100,23,312
23.5,95446.8994141,100,23,314
24.0,95416.0888672,100,23,316
24.5,95434.9121094,100,23,319
25.0,95428.9550781,100,23,315
25.5,95436.1083984,100,23,315
26.0,95441.2841797,100,23,314
26.5,95409.2529297,100,23,320
27.0,95438.2080078,100,23,315
27.5,95414.5019531,100,23,319
28.0,95435.8886719,100,23,312
28.5,95432.03125,100,23,317
29.0,95452.8564453,100,23,318
29.5,95430.859375,100,23,313
30.0,95437.8417969,100,23,317
30.5,95449.4140625,100,23,314
31.0,95422.6074219,100,23,313
31.5,95435.6933594,100,23,315
32.0,95431.4697266,100,23,316
32.5,95427.0996094,100,23,319
33.0,95435.9375,100,23,315
33.5,95461.3769531,100,23,317
34.0,95440.0390625,100,23,314
34.5,95414.6728516,100,23,315
35.0,95414.7216797,100,23,317
35.5,95422.4853516,100,23,313
36.0,95447.7050781,100,23,318
36.5,95444.6289062,100,23,318
37.0,95444.7998047,100,23,314
37.5,95456.4453125,100,23,315
38.0,95443.8964844,100,23,316
38.5,95428.8574219,100,23,317
39.0,95449.0966797,100,23,320
39.5,95453.515625,100,23,316
40.0,95474.9267578,100,23,317
40.5,95451.8310547,100,23,321
41.0,95464.7460938,100,23,324
41.5,95463.5253906,100,23,330
42.0,95489.7705078,100,23,335
42.5,95452.7587891,100,23,340
43.0,95450.6591797,100,23,342
43.5,95452.7587891,100,23,347
44.0,95436.8164062,100,23,353
44.5,95432.9589844,100,23,357
45.0,95461.6455078,100,23,361
45.5,95452.9541016,100,23,361
46.0,95450.0732422,100,23,368
46.5,95439.5019531,100,23,369
47.0,95463.0126953,100,23,373
47.5,95441.6503906,100,23,375
48.0,95445.6787109,100,23,373
48.5,95460.6933594,100,23,377
49.0,95448.7304688,100,23,375
49.5,95452.0263672,100,23,379
50.0,95442.7734375,100,23,383
50.5,95455.8837891,100,23,379
51.0,95442.0166016,100,23,383
51.5,95453.0029297,100,23,386
52.0,95473.6083984,100,23,387
52.5,95462.0361328,100,23,384
53.0,95447.6074219,100,23,388
53.5,95447.9736328,100,23,388
54.0,95483.8378906,100,23,386
54.5,95461.2792969,100,23,388
55.0,95462.4511719,100,23,391
55.5,95453.1982422,100,23,389
56.0,95463.5986328,100,23,388
56.5,95464.3554688,100,23,386
57.0,95438.5253906,100,23,389
57.5,95469.5556641,100,23,391
58.0,95462.2070312,100,23,386
58.5,95473.046875,100,23,390
59.0,95459.375,100,23,390
59.5,95455.9082031,100,23,391
60.0,95445.1171875,100,23,390
60.5,95465.3564453,100,23,391
61.0,95447.0458984,100,23,392
61.5,95458.203125,100,23,393
62.0,95469.3847656,100,23,395
62.5,95450.5126953,100,23,392
63.0,95460.7177734,100,23,391
63.5,95452.6367188,100,23,392
64.0,95447.65625,100,23,393
64.5,95455.1513672,100,23,393
65.0,95430.1025391,100,23,391
65.5,95446.5087891,100,23,392
66.0,95462.4511719,100,23,392
66.5,95455.3222656,100,23,392
67.0,95435.8642578,100,23,389
67.5,95451.6845703,100,23,392
68.0,95455.3710938,100,23,388
68.5,95457.8613281,100,23,394
69.0,95486.0595703,100,23,394
69.5,95454.9804688,100,23,394
70.0,95454.1992188,100,23,391
70.5,95446.5332031,100,23,392
71.0,95448.4130859,100,23,389
71.5,95448.6083984,100,23,393
72.0,95439.7705078,100,23,389
72.5,95462.3046875,100,23,390
73.0,95449.0234375,100,23,393
73.5,95446.8994141,100,23,395
74.0,95468.0908203,100,23,392
74.5,95459.8144531,100,23,393
75.0,95460.9863281,100,23,392
75.5,95460.7666016,100,23,392
76.0,95448.0712891,100,23,391
76.5,95437.6708984,100,23,391
77.0,95453.4667969,100,23,391
77.5,95463.6962891,100,23,389
78.0,95463.6962891,100,23,392
78.5,95446.5332031,100,23,392
79.0,95464.0625,100,23,392
79.5,95438.0615234,100,23,393
80.0,95477.3925781,100,23,388
80.5,95445.7763672,100,23,391
81.0,95460.4492188,100,23,391
81.5,95461.5966797,100,23,391
82.0,95473.9013672,100,23,393
82.5,95463.28125,100,23,392
83.0,95476.4404297,100,23,392
83.5,95446.7529297,100,23,392
84.0,95453.515625,100,23,391
84.5,95451.5625,100,23,389
85.0,95455.2246094,100,23,391
85.5,95439.4042969,100,23,390
86.0,95465.234375,100,23,391
86.5,95446.1669922,100,23,391
87.0,95455.4199219,100,23,392
87.5,95453.515625,100,23,392
88.0,95446.0205078,100,23,391
88.5,95441.3818359,100,23,392
89.0,95485.4980469,100,23,391
89.5,95448.1201172,100,23,392
90.0,95459.6679688,100,23,392
90.5,95473.9501953,100,23,392
91.0,95462.2070312,100,23,391
91.5,95471.0693359,100,23,389
92.0,95461.6210938,100,23,389
92.5,95471.1181641,100,23,391
93.0,95467.7978516,100,23,386
93.5,95473.9746094,100,23,386
94.0,95457.1777344,100,23,388
94.5,95472.8027344,100,23,386
95.0,95451.4160156,100,23,379
95.5,95428.7109375,100,23,383
96.0,95464.5263672,100,23,382
96.5,95465.3076172,100,23,381
97.0,95444.2871094,100,23,382
97.5,95457.2265625,100,23,382
98.0,95451.2695312,100,23,379
98.5,95466.0888672,100,23,375
99.0,95443.7255859,100,23,380
99.5,95463.3789062,100,23,378
100.0,95461.0595703,100,23,380
100.5,95474.7558594,100,23,379
101.0,95445.8740234,100,23,378
101.5,95436.4257812,100,23,376
102.0,95467.2363281,100,23,378
102.5,95440.8935547,100,23,377
103.0,95475.1953125,100,23,374
103.5,95455.3466797,100,23,376
104.0,95473.9990234,100,23,373
104.5,95466.1376953,100,23,373
105.0,95466.0888672,100,23,368
105.5,95480.9570312,100,23,372
