Time(s),Pressure(pa),Humidity(RH%),Temperature(C),Gas(NoUnitYet)
0,97912.9394531,83,25,313
0.5,97920.4101562,83,25,316
1.0,97923.1201172,83,25,315
1.5,97911.71875,83,25,312
2.0,97909.0332031,83,25,316
2.5,97915.9179688,83,25,313
3.0,97880.6640625,83,25,313
3.5,97917.7001953,83,25,315
4.0,97912.6953125,83,25,314
4.5,97886.328125,83,25,314
5.0,97908.7890625,83,25,313
5.5,97914.5751953,83,25,314
6.0,97916.796875,83,25,315
6.5,97903.1005859,83,25,312
7.0,97886.1572266,83,25,318
7.5,97898.6572266,83,25,311
8.0,97916.6259766,83,25,313
8.5,97904.6142578,83,25,313
9.0,97902.5634766,83,25,317
9.5,97912.0361328,83,25,316
10.0,97921.7773438,83,25,315
10.5,97934.7900391,83,25,313
11.0,97930.1757812,84,25,314
11.5,97929.6386719,84,25,315
12.0,97900.390625,84,25,318
12.5,97925.7080078,84,25,317
13.0,97901.4892578,84,25,312
13.5,97922.2167969,84,25,314
14.0,97901.4892578,84,25,313
14.5,97906.9091797,84,25,314
15.0,97913.9160156,84,25,312
15.5,97905.9814453,84,25,315
16.0,97909.0820312,84,25,316
16.5,97902.0507812,84,25,315
17.0,97896.5087891,84,25,313
17.5,97894.8730469,84,25,316
18.0,97917.1875,84,25,314
18.5,97934.375,84,25,311
19.0,97901.9042969,84,25,314
19.5,97895.5810547,84,25,314
20.0,97922.8759766,84,25,313
20.5,97922.0947266,84,25,314
21.0,97897.1679688,84,25,317
21.5,97913.4033203,84,25,311
22.0,97945.3369141,84,25,313
22.5,97908.0078125,84,25,315
23.0,97904.7363281,84,25,317
23.5,97905.0537109,84,25,313
24.0,97918.0419922,84,25,315
24.5,97907.0556641,84,25,313
25.0,97899.21875,84,25,317
25.5,97914.3798828,84,25,311
26.0,97909.0087891,84,25,313
26.5,97901.2695312,84,25,314
27.0,97923.0224609,84,25,317
27.5,97912.0605469,84,25,313
28.0,97930.7617188,84,25,315
28.5,97916.4306641,84,25,315
29.0,97885.9619141,84,25,313
29.5,97899.9267578,84,25,317
30.0,97928.0517578,84,25,315
30.5,97905.1757812,85,25,313
31.0,97926.9775391,85,25,316
31.5,97898.5595703,85,25,317
32.0,97904.9560547,85,25,315
32.5,97903.9794922,85,25,312
33.0,97893.1396484,85,25,315
33.5,97921.9482422,85,25,316
34.0,97893.1396484,85,25,317
34.5,97903.4423828,85,25,315
35.0,97924.3896484,85,25,313
35.5,97915.625,85,25,314
36.0,97890.1855469,85,25,315
36.5,97904.6386719,85,25,314
37.0,97900.3173828,85,25,315
37.5,97906.2988281,85,25,315
38.0,97911.9873047,85,25,312
38.5,97936.4501953,85,25,313
39.0,97912.9150391,85,25,314
39.5,97913.0615234,85,25,314
40.0,97901.9287109,85,25,313
40.5,97919.8486328,85,25,315
41.0,97884.2285156,85,25,313
41.5,97902.7832031,85,25,314
42.0,97886.1328125,85,25,315
42.5,97899.6582031,85,25,313
43.0,97906.9824219,85,25,317
43.5,97892.3583984,85,25,316
44.0,97909.1308594,85,25,312
44.5,97906.8359375,85,25,313
45.0,97931.2011719,85,25,316
45.5,97923.3642578,85,25,314
46.0,97913.3300781,85,25,313
46.5,97909.1308594,85,25,315
