Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.37862e-01,0.04,0.06
5.37864e-01,0.04,-3.8147e-08
5.37866e-01,0.04,0.06
5.37867e-01,0.02,-3.8147e-08
5.37869e-01,0.04,0.06
5.37870e-01,0.02,-3.8147e-08
5.37872e-01,0.04,0.06
5.37874e-01,0.04,-3.8147e-08
5.37875e-01,0.04,0.06
5.37877e-01,0.04,-3.8147e-08
5.37878e-01,0.06,0.06
5.37880e-01,0.04,-3.8147e-08
5.37882e-01,0.04,0.06
5.37883e-01,0.04,-3.8147e-08
5.37885e-01,0.04,0.06
5.37886e-01,0.04,-3.8147e-08
5.37888e-01,0.02,0.06
5.37890e-01,0.04,-3.8147e-08
5.37891e-01,0.02,0.08
5.37893e-01,0.04,-3.8147e-08
5.37894e-01,0.04,0.06
5.37896e-01,0.04,-3.8147e-08
5.37898e-01,0.02,0.06
5.37899e-01,0.04,-3.8147e-08
5.37901e-01,0.02,0.06
5.37902e-01,0.02,-0.02
5.37904e-01,0.04,0.08
5.37906e-01,0.04,-3.8147e-08
5.37907e-01,0.04,0.06
5.37909e-01,0.04,-3.8147e-08
5.37910e-01,0.04,0.06
5.37912e-01,0.02,-3.8147e-08
5.37914e-01,0.04,0.06
5.37915e-01,0.06,-3.8147e-08
5.37917e-01,0.04,0.08
5.37918e-01,0.04,-3.8147e-08
5.37920e-01,0.04,0.06
5.37922e-01,0.04,-3.8147e-08
5.37923e-01,0.04,0.06
5.37925e-01,0.04,-3.8147e-08
5.37926e-01,0.04,0.08
5.37928e-01,0.04,-3.8147e-08
5.37930e-01,0.04,0.08
5.37931e-01,0.02,-3.8147e-08
5.37933e-01,0.04,0.06
5.37934e-01,0.04,-3.8147e-08
5.37936e-01,0.02,0.06
5.37938e-01,0.06,-3.8147e-08
5.37939e-01,0.02,0.06
5.37941e-01,0.02,-3.8147e-08
5.37942e-01,0.04,0.08
