Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.189808e-01,0.46,0.5
6.189810e-01,0.46,0.44
6.189811e-01,0.46,0.48
6.189813e-01,0.46,0.44
6.189814e-01,0.46,0.48
6.189816e-01,0.46,0.44
6.189818e-01,0.46,0.48
6.189819e-01,0.48,0.44
6.189821e-01,0.46,0.5
6.189822e-01,0.46,0.44
6.189824e-01,0.46,0.48
6.189826e-01,0.46,0.44
6.189827e-01,0.46,0.48
6.189829e-01,0.46,0.44
6.189830e-01,0.5,0.5
6.189832e-01,0.46,0.44
6.189834e-01,0.48,0.5
6.189835e-01,0.46,0.44
6.189837e-01,0.46,0.5
6.189838e-01,0.48,0.44
6.189840e-01,0.46,0.5
6.189842e-01,0.46,0.44
6.189843e-01,0.46,0.48
6.189845e-01,0.46,0.44
6.189846e-01,0.48,0.5
6.189848e-01,0.46,0.44
6.189850e-01,0.48,0.5
6.189851e-01,0.48,0.44
6.189853e-01,0.46,0.5
6.189854e-01,0.48,0.44
6.189856e-01,0.48,0.5
6.189858e-01,0.48,0.44
6.189859e-01,0.46,0.5
6.189861e-01,0.46,0.44
6.189862e-01,0.46,0.48
6.189864e-01,0.48,0.44
6.189866e-01,0.46,0.5
6.189867e-01,0.48,0.44
6.189869e-01,0.46,0.5
6.189870e-01,0.46,0.44
6.189872e-01,0.46,0.5
6.189874e-01,0.48,0.44
6.189875e-01,0.48,0.5
6.189877e-01,0.46,0.44
6.189878e-01,0.48,0.5
6.189880e-01,0.48,0.44
6.189882e-01,0.48,0.5
6.189883e-01,0.46,0.44
6.189885e-01,0.48,0.5
6.189886e-01,0.48,0.44
6.189888e-01,0.48,0.5
6.189890e-01,0.46,0.44
6.189891e-01,0.48,0.5
6.189893e-01,0.46,0.44
6.189894e-01,0.46,0.5
6.189896e-01,0.48,0.44
6.189898e-01,0.46,0.5
6.189899e-01,0.46,0.44
6.189901e-01,0.48,0.5
6.189902e-01,0.48,0.44
6.189904e-01,0.48,0.5
6.189906e-01,0.46,0.44
6.189907e-01,0.46,0.5
6.189909e-01,0.46,0.44
6.189910e-01,0.46,0.5
6.189912e-01,0.48,0.44
6.189914e-01,0.48,0.5
6.189915e-01,0.48,0.44
6.189917e-01,0.48,0.5
6.189918e-01,0.46,0.44
6.189920e-01,0.46,0.5
6.189922e-01,0.48,0.44
6.189923e-01,0.5,0.5
6.189925e-01,0.46,0.44
6.189926e-01,0.48,0.5
6.189928e-01,0.46,0.44
6.189930e-01,0.48,0.5
6.189931e-01,0.48,0.46
6.189933e-01,0.46,0.5
6.189934e-01,0.46,0.44
6.189936e-01,0.46,0.5
6.189938e-01,0.46,0.44
6.189939e-01,0.48,0.5
6.189941e-01,0.46,0.44
6.189942e-01,0.46,0.5
6.189944e-01,0.48,0.44
6.189946e-01,0.46,0.5
6.189947e-01,0.48,0.44
6.189949e-01,0.48,0.5
6.189950e-01,0.48,0.44
6.189952e-01,0.48,0.5
6.189954e-01,0.46,0.44
6.189955e-01,0.46,0.48
6.189957e-01,0.46,0.44
6.189958e-01,0.48,0.5
6.189960e-01,0.46,0.44
6.189962e-01,0.48,0.5
6.189963e-01,0.46,0.44
6.189965e-01,0.46,0.5
6.189966e-01,0.46,0.44
6.189968e-01,0.48,0.5
6.189970e-01,0.46,0.44
6.189971e-01,0.46,0.5
6.189973e-01,0.46,0.44
6.189974e-01,0.48,0.5
6.189976e-01,0.48,0.44
6.189978e-01,0.48,0.5
6.189979e-01,0.46,0.44
6.189981e-01,0.48,0.5
6.189982e-01,0.48,0.44
6.189984e-01,0.46,0.5
6.189986e-01,0.46,0.44
6.189987e-01,0.46,0.5
6.189989e-01,0.48,0.44
6.189990e-01,0.46,0.5
6.189992e-01,0.48,0.44
6.189994e-01,0.48,0.5
6.189995e-01,0.44,0.44
6.189997e-01,0.46,0.5
6.189998e-01,0.48,0.44
6.190000e-01,0.48,0.5
6.190002e-01,0.46,0.44
6.190003e-01,0.48,0.5
6.190005e-01,0.48,0.44
6.190006e-01,0.48,0.48
6.190008e-01,0.46,0.44
6.190010e-01,0.44,0.5
6.190011e-01,0.46,0.44
6.190013e-01,0.46,0.5
6.190014e-01,0.48,0.44
6.190016e-01,0.48,0.5
6.190018e-01,0.48,0.44
6.190019e-01,0.48,0.5
6.190021e-01,0.46,0.44
6.190022e-01,0.46,0.5
6.190024e-01,0.48,0.46
6.190026e-01,0.48,0.5
6.190027e-01,0.46,0.44
6.190029e-01,0.48,0.5
6.190030e-01,0.48,0.44
6.190032e-01,0.48,0.5
6.190034e-01,0.46,0.44
6.190035e-01,0.48,0.5
6.190037e-01,0.48,0.44
6.190038e-01,0.46,0.5
6.190040e-01,0.48,0.46
6.190042e-01,0.48,0.5
6.190043e-01,0.46,0.44
6.190045e-01,0.48,0.5
6.190046e-01,0.48,0.44
6.190048e-01,0.48,0.5
6.190050e-01,0.48,0.46
6.190051e-01,0.46,0.5
6.190053e-01,0.46,0.44
6.190054e-01,0.48,0.5
6.190056e-01,0.48,0.44
6.190058e-01,0.48,0.5
6.190059e-01,0.48,0.44
6.190061e-01,0.48,0.5
6.190062e-01,0.46,0.44
6.190064e-01,0.48,0.5
6.190066e-01,0.48,0.44
6.190067e-01,0.48,0.5
6.190069e-01,0.48,0.44
6.190070e-01,0.46,0.5
6.190072e-01,0.46,0.44
6.190074e-01,0.46,0.5
6.190075e-01,0.48,0.44
6.190077e-01,0.46,0.5
6.190078e-01,0.46,0.44
6.190080e-01,0.48,0.5
6.190082e-01,0.46,0.44
6.190083e-01,0.46,0.5
6.190085e-01,0.46,0.44
6.190086e-01,0.48,0.5
6.190088e-01,0.48,0.44
6.190090e-01,0.48,0.5
6.190091e-01,0.48,0.44
6.190093e-01,0.48,0.5
6.190094e-01,0.46,0.44
6.190096e-01,0.46,0.5
6.190098e-01,0.46,0.44
6.190099e-01,0.46,0.5
6.190101e-01,0.46,0.44
6.190102e-01,0.48,0.5
6.190104e-01,0.46,0.44
6.190106e-01,0.48,0.5
6.190107e-01,0.5,0.44
6.190109e-01,0.48,0.48
6.190110e-01,0.46,0.44
6.190112e-01,0.46,0.5
6.190114e-01,0.48,0.44
6.190115e-01,0.48,0.5
6.190117e-01,0.46,0.44
6.190118e-01,0.46,0.5
6.190120e-01,0.46,0.44
6.190122e-01,0.48,0.5
6.190123e-01,0.48,0.44
6.190125e-01,0.48,0.5
6.190126e-01,0.46,0.44
6.190128e-01,0.48,0.5
6.190130e-01,0.46,0.44
6.190131e-01,0.46,0.5
6.190133e-01,0.48,0.44
6.190134e-01,0.46,0.5
6.190136e-01,0.46,0.44
6.190138e-01,0.48,0.5
6.190139e-01,0.48,0.44
6.190141e-01,0.48,0.5
6.190142e-01,0.48,0.44
6.190144e-01,0.46,0.5
6.190146e-01,0.46,0.44
6.190147e-01,0.46,0.5
6.190149e-01,0.46,0.44
6.190150e-01,0.48,0.5
6.190152e-01,0.46,0.44
6.190154e-01,0.46,0.5
6.190155e-01,0.48,0.44
6.190157e-01,0.48,0.5
6.190158e-01,0.48,0.44
6.190160e-01,0.46,0.5
6.190162e-01,0.48,0.44
6.190163e-01,0.46,0.5
6.190165e-01,0.46,0.44
6.190166e-01,0.48,0.5
