Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.278608e-01,0.04,0.06
6.278610e-01,0.04,-3.8147e-08
6.278611e-01,0.04,0.06
6.278613e-01,0.02,-3.8147e-08
6.278614e-01,0.02,0.06
6.278616e-01,0.02,-3.8147e-08
6.278618e-01,0.02,0.06
6.278619e-01,0.02,-3.8147e-08
6.278621e-01,0.04,0.06
6.278622e-01,0.02,-3.8147e-08
6.278624e-01,0.04,0.06
6.278626e-01,0.02,-3.8147e-08
6.278627e-01,0.02,0.06
6.278629e-01,0.04,-3.8147e-08
6.278630e-01,0.02,0.06
6.278632e-01,0.04,-3.8147e-08
6.278634e-01,0.02,0.06
6.278635e-01,0.04,-3.8147e-08
6.278637e-01,0.04,0.06
6.278638e-01,0.04,-3.8147e-08
6.278640e-01,0.04,0.06
6.278642e-01,0.04,-3.8147e-08
6.278643e-01,0.02,0.06
6.278645e-01,0.06,-3.8147e-08
6.278646e-01,0.04,0.06
6.278648e-01,0.04,-3.8147e-08
6.278650e-01,0.02,0.06
6.278651e-01,0.02,-3.8147e-08
6.278653e-01,0.02,0.06
6.278654e-01,0.04,-3.8147e-08
6.278656e-01,0.04,0.06
6.278658e-01,0.02,-3.8147e-08
6.278659e-01,0.02,0.06
6.278661e-01,0.04,-3.8147e-08
6.278662e-01,0.02,0.06
6.278664e-01,0.02,0.02
6.278666e-01,0.02,0.06
6.278667e-01,0.04,-3.8147e-08
6.278669e-01,0.04,0.06
6.278670e-01,0.04,-3.8147e-08
6.278672e-01,0.02,0.06
6.278674e-01,0.02,-3.8147e-08
6.278675e-01,0.02,0.06
6.278677e-01,0.04,-3.8147e-08
6.278678e-01,0.02,0.06
6.278680e-01,0.04,-3.8147e-08
6.278682e-01,0.04,0.06
6.278683e-01,0.04,-3.8147e-08
6.278685e-01,0.04,0.06
6.278686e-01,0.04,-3.8147e-08
6.278688e-01,0.04,0.06
6.278690e-01,0.04,-3.8147e-08
6.278691e-01,0.02,0.06
6.278693e-01,0.04,-3.8147e-08
6.278694e-01,0.04,0.06
6.278696e-01,0.04,-3.8147e-08
6.278698e-01,0.04,0.06
6.278699e-01,0.04,-3.8147e-08
6.278701e-01,0.04,0.06
6.278702e-01,0.02,-3.8147e-08
6.278704e-01,0.04,0.06
6.278706e-01,0.04,-3.8147e-08
6.278707e-01,0.04,0.06
6.278709e-01,0.04,-3.8147e-08
6.278710e-01,0.04,0.06
6.278712e-01,0.02,-3.8147e-08
6.278714e-01,0.04,0.06
6.278715e-01,-3.8147e-08,-3.8147e-08
6.278717e-01,0.02,0.06
6.278718e-01,0.06,-3.8147e-08
6.278720e-01,0.04,0.06
6.278722e-01,0.02,-3.8147e-08
6.278723e-01,0.04,0.06
6.278725e-01,0.06,-3.8147e-08
6.278726e-01,0.04,0.06
6.278728e-01,0.06,-3.8147e-08
6.278730e-01,0.04,0.06
6.278731e-01,0.06,-3.8147e-08
6.278733e-01,0.04,0.06
6.278734e-01,0.04,-3.8147e-08
6.278736e-01,0.04,0.06
6.278738e-01,0.02,-3.8147e-08
6.278739e-01,0.04,0.06
6.278741e-01,0.04,-3.8147e-08
6.278742e-01,0.04,0.06
6.278744e-01,0.04,-3.8147e-08
6.278746e-01,0.04,0.06
6.278747e-01,0.02,-3.8147e-08
6.278749e-01,0.04,0.06
6.278750e-01,0.04,-3.8147e-08
6.278752e-01,0.04,0.06
6.278754e-01,0.04,-3.8147e-08
6.278755e-01,0.04,0.06
6.278757e-01,0.02,-3.8147e-08
6.278758e-01,0.04,0.06
6.278760e-01,0.04,-3.8147e-08
6.278762e-01,0.04,0.06
6.278763e-01,0.04,-3.8147e-08
6.278765e-01,0.04,0.06
6.278766e-01,0.04,-3.8147e-08
6.278768e-01,0.04,0.06
6.278770e-01,0.04,-3.8147e-08
6.278771e-01,0.04,0.06
6.278773e-01,0.04,0.02
6.278774e-01,0.04,0.06
6.278776e-01,0.02,-3.8147e-08
6.278778e-01,0.02,0.06
6.278779e-01,0.04,-3.8147e-08
6.278781e-01,0.04,0.06
6.278782e-01,0.06,-3.8147e-08
6.278784e-01,0.04,0.06
6.278786e-01,0.04,-3.8147e-08
6.278787e-01,0.02,0.06
6.278789e-01,0.02,-3.8147e-08
6.278790e-01,0.04,0.06
6.278792e-01,0.02,-3.8147e-08
6.278794e-01,0.04,0.06
6.278795e-01,0.02,-3.8147e-08
6.278797e-01,0.02,0.06
6.278798e-01,0.04,-3.8147e-08
6.278800e-01,0.04,0.06
6.278802e-01,0.04,-3.8147e-08
6.278803e-01,0.04,0.06
6.278805e-01,0.04,-3.8147e-08
6.278806e-01,0.04,0.06
6.278808e-01,0.02,-3.8147e-08
6.278810e-01,0.04,0.06
6.278811e-01,0.04,-0.02
6.278813e-01,0.02,0.06
6.278814e-01,0.04,-3.8147e-08
6.278816e-01,0.04,0.06
6.278818e-01,0.04,-3.8147e-08
6.278819e-01,0.04,0.06
6.278821e-01,0.04,-3.8147e-08
6.278822e-01,0.04,0.06
6.278824e-01,0.02,-3.8147e-08
6.278826e-01,0.04,0.06
6.278827e-01,0.02,-3.8147e-08
6.278829e-01,0.04,0.06
6.278830e-01,0.04,-3.8147e-08
6.278832e-01,0.04,0.06
6.278834e-01,0.02,-3.8147e-08
6.278835e-01,0.04,0.06
6.278837e-01,0.04,-3.8147e-08
6.278838e-01,0.04,0.06
6.278840e-01,0.04,-3.8147e-08
6.278842e-01,0.04,0.06
6.278843e-01,0.02,-3.8147e-08
6.278845e-01,0.04,0.06
6.278846e-01,0.04,-3.8147e-08
6.278848e-01,0.04,0.06
6.278850e-01,0.02,-3.8147e-08
6.278851e-01,0.02,0.06
6.278853e-01,0.04,-3.8147e-08
6.278854e-01,0.04,0.06
6.278856e-01,0.02,-3.8147e-08
6.278858e-01,0.04,0.06
6.278859e-01,0.04,-3.8147e-08
6.278861e-01,0.04,0.06
6.278862e-01,0.02,-3.8147e-08
6.278864e-01,0.02,0.06
6.278866e-01,0.02,-3.8147e-08
6.278867e-01,0.04,0.06
6.278869e-01,0.04,-3.8147e-08
6.278870e-01,0.04,0.06
6.278872e-01,0.02,-3.8147e-08
6.278874e-01,0.02,0.06
6.278875e-01,0.04,-3.8147e-08
6.278877e-01,0.04,0.06
6.278878e-01,0.04,-3.8147e-08
6.278880e-01,0.02,0.06
6.278882e-01,0.02,-3.8147e-08
6.278883e-01,0.02,0.06
6.278885e-01,0.04,-3.8147e-08
6.278886e-01,0.04,0.06
6.278888e-01,0.04,-0.02
6.278890e-01,0.04,0.08
6.278891e-01,0.02,-3.8147e-08
6.278893e-01,0.04,0.06
6.278894e-01,0.02,-3.8147e-08
6.278896e-01,0.02,0.06
6.278898e-01,0.02,-3.8147e-08
6.278899e-01,0.04,0.06
6.278901e-01,0.04,-3.8147e-08
6.278902e-01,0.04,0.06
6.278904e-01,0.04,-3.8147e-08
6.278906e-01,0.02,0.06
6.278907e-01,0.04,-3.8147e-08
6.278909e-01,0.04,0.06
6.278910e-01,0.02,-3.8147e-08
6.278912e-01,0.04,0.06
6.278914e-01,0.04,-3.8147e-08
6.278915e-01,0.02,0.06
6.278917e-01,0.04,-3.8147e-08
6.278918e-01,0.04,0.06
